experiment_id,timestamp,seed,model,fl_algorithm,pred_len,learning_rate,local_epochs,num_rounds_configured,num_rounds_completed,batch_size,num_clients,weight_decay,warmup_rounds,proximal_mu,early_stop_patience,dropout,seq_len,patch_size,stride,num_patches,d_model,hidden_size,kernel_size,llm_layers,lora_r,lora_alpha,lora_dropout,num_trainable_params,num_total_params,model_payload_mb,best_round,best_val_mse,best_val_mae,best_val_rmse,best_test_mse,best_test_mae,best_test_rmse,best_train_mse,first_round_val_loss,final_round_val_loss,val_loss_improvement_pct,overfit_gap,overfit_ratio,converged,loss_trend_last3,early_stopped,early_stop_round,client_val_mae_mean,client_val_mae_std,client_val_mae_min,client_val_mae_max,client_val_mae_best_city,client_val_mae_worst_city,fairness_ratio,payload_per_round_mb,total_comm_mb,comm_to_best_mb,rounds_per_mae_point,total_training_time_sec,total_training_time_min,avg_round_duration_sec,avg_client_train_dur_sec,max_client_train_dur_sec,status,experiment_dir,notes,dataset_name,target_column
centralized_20260131_174905,20260131_174905,,,centralized,72,0.0003,1,20,8.0,32,,0.02,1,,2,0.2,336,4,1,334,768,32,3,2,4,8,0.1,,,,6.0,0.89009,0.726795,0.942642,0.881601,0.722935,0.938748,0.877912,0.927381,0.895416,4.02,0.012178,1.0139,False,increasing,True,8.0,,,,,,,,,0.0,0.0,3.05,22765.560178,379.426003,2845.69,2373.61,2412.86,early_stopped,/raid/tin_trungchau/tmp/centralized_20260131_174905,,,
centralized_20260201_133501,20260201_133501,,,centralized,72,0.0003,1,5,5.0,32,,0.02,1,,2,0.2,336,4,1,334,768,32,3,2,4,8,0.1,,,,4.0,0.888235,0.725067,0.941653,0.884855,0.72375,0.940485,0.895845,0.912722,0.892182,2.68,-0.00761,0.9915,False,decreasing,False,,,,,,,,,,0.0,0.0,2.51,14170.74773,236.179129,2834.15,2342.95,2353.16,completed,/raid/tin_trungchau/tmp/centralized_20260201_133501,,,
centralized_20260205_043235,20260205_043235,,llama_nonlinear,centralized,72,0.0003,1,20,12.0,32,,0.01,3,,5,0.15,336,4,1,334,768,16,3,4,8,16,0.15,,,,7.0,0.892489,0.728106,0.943811,0.886375,0.725833,0.941265,0.873236,1.238053,0.898107,27.91,0.019253,1.022,True,decreasing,True,12.0,,,,,,,,,0.0,0.0,0.53,37075.927375,617.932123,3089.66,2552.02,2555.95,early_stopped,/raid/tin_trungchau/tmp/centralized_20260205_043235,,,
centralized_20260205_145058,20260205_145058,,bart_nonlinear,centralized,72,0.0003,1,20,8.0,32,,0.01,3,,5,0.15,336,4,1,334,768,16,3,4,8,16,0.15,,,,3.0,0.895859,0.727598,0.945624,0.88789,0.724236,0.942077,0.884274,0.913764,0.96496,1.96,0.011585,1.0131,False,increasing,True,8.0,,,,,,,,,0.0,0.0,2.23,19303.838748,321.730646,2412.97,2011.22,2022.93,early_stopped,/raid/tin_trungchau/tmp/centralized_20260205_145058,,,
centralized_20260212_142934,20260212_142934,2021.0,llama_nonlinear,centralized,1,0.0001,2,10,10.0,32,5.0,0.01,1,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,24613921.0,,,6.0,0.04825,0.159029,0.217061,0.048066,0.159507,0.21702,0.0344,0.053694,0.055227,10.14,0.01385,1.4026,True,decreasing,False,,,,,,,,,,0.0,0.0,6.37,5366.205661,89.436761,536.62,462.03,473.58,completed,/raid/tin_trungchau/tmp/centralized_20260212_142934,,,
centralized_20260212_143058,20260212_143058,2021.0,bart_nonlinear,centralized,1,0.0001,2,10,7.0,32,5.0,0.01,1,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,1474849.0,,,2.0,0.043247,0.145982,0.203455,0.042689,0.146146,0.202662,0.042892,0.049113,0.051648,11.94,0.000355,1.0083,True,increasing,True,7.0,,,,,,,,,0.0,0.0,3.42,4436.867299,73.947788,633.83,562.1,579.28,early_stopped,/raid/tin_trungchau/tmp/centralized_20260212_143058,,,
centralized_20260212_155927,20260212_155927,2021.0,llama_nonlinear,centralized,72,0.0001,2,10,9.0,32,5.0,0.01,1,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,25813608.0,,,4.0,0.896937,0.729428,0.946269,0.895542,0.728391,0.946143,0.881448,0.913759,0.904732,1.84,0.015489,1.0176,False,increasing,True,9.0,,,,,,,,,0.0,0.0,5.78,7369.290011,122.8215,818.81,687.76,1055.42,early_stopped,/raid/tin_trungchau/tmp/centralized_20260212_155927,,,
centralized_20260212_162051,20260212_162051,2021.0,gpt4ts_nonlinear,centralized,72,0.0001,2,10,6.0,32,5.0,0.01,1,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,2424168.0,,,1.0,0.895574,0.729947,0.945484,0.890966,0.727692,0.943662,0.895018,0.895574,1.038709,0.0,0.000556,1.0006,False,increasing,True,6.0,,,,,,,,,0.0,0.0,,6618.018925,110.300315,1103.0,944.87,1204.1,early_stopped,/raid/tin_trungchau/tmp/centralized_20260212_162051,,,
centralized_20260212_165354,20260212_165354,2021.0,bart_nonlinear,centralized,432,0.0001,2,10,6.0,32,5.0,0.01,1,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,8757456.0,,,1.0,1.015668,0.787831,1.006594,1.018146,0.787924,1.008562,0.979711,1.015668,1.209284,0.0,0.035957,1.0367,False,increasing,True,6.0,,,,,,,,,0.0,0.0,,7249.597573,120.826626,1208.26,919.22,1080.12,early_stopped,/raid/tin_trungchau/tmp/centralized_20260212_165354,,,
centralized_20260212_180245,20260212_180245,2021.0,llama_nonlinear,centralized,432,0.0001,2,10,6.0,32,5.0,0.01,1,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,31896528.0,,,1.0,1.003833,0.782677,1.000929,1.008712,0.78415,1.004019,1.003002,1.003833,1.006262,0.0,0.000831,1.0008,False,increasing,True,6.0,,,,,,,,,0.0,0.0,,8505.494476,141.758241,1417.58,1119.47,1123.76,early_stopped,/raid/tin_trungchau/tmp/centralized_20260212_180245,,,
